start_time,stop_time,satellite,MLT,L
2020-03-07T09:18:32.958,2020-03-07T09:18:38.411,A,18.892928149221436,5.567676738559798
2020-04-26T18:52:07.942,2020-04-26T18:52:10.857,A,17.61656121681605,7.380453902041441
2020-05-07T07:11:24.465,2020-05-07T07:11:27.287,B,16.54086057428192,6.84653420008131
2020-06-04T18:58:44.008,2020-06-04T18:58:46.855,A,17.942179085822286,NaN
2020-07-14T07:38:36.728,2020-07-14T07:38:42.441,B,14.726800915961944,5.475059394973984
2020-07-24T18:36:24.042,2020-07-24T18:36:26.877,B,15.187384409037035,7.593913599299351
2020-07-30T00:07:27.180,2020-07-30T00:07:32.805,B,0.9851173448523174,7.687376115642908
2020-09-08T23:38:31.570,2020-09-08T23:38:39.750,A,3.3342581754995413,8.348318278732728
2020-09-09T19:53:38.175,2020-09-09T19:53:43.700,A,2.3971015388655386,8.673419291671811
2020-09-10T11:29:53.389,2020-09-10T11:30:01.693,A,0.34566607096987545,8.982659241511183
2020-09-10T13:02:31.035,2020-09-10T13:02:42.110,A,0.3614696821062562,9.334613279785593
2020-09-10T06:19:31.531,2020-09-10T06:19:37.134,B,1.7446282971079403,8.756022480052525
2020-09-10T23:25:23.162,2020-09-10T23:25:28.790,B,3.2029772658074402,8.288306028608977
2020-09-11T10:53:17.047,2020-09-11T10:53:25.354,A,0.46589307747591546,6.861375572860077
2020-09-11T11:54:33.600,2020-09-11T11:54:42.034,B,0.3421593450479231,6.79131000599229
2020-09-22T01:29:31.091,2020-09-22T01:29:39.566,A,22.913819231398264,6.347594763219892
2020-09-23T17:53:42.588,2020-09-23T17:53:47.545,A,0.6224889227856707,5.8304459133429
2020-09-23T19:27:38.836,2020-09-23T19:27:41.676,A,0.21412101583330606,5.160806504243301
2020-09-27T23:45:48.392,2020-09-27T23:45:51.217,B,2.546405815637467,6.918986436567697
2020-10-03T21:02:26.531,2020-10-03T21:02:29.374,A,22.66301516526813,10.264664725533288
2020-10-06T23:51:39.376,2020-10-06T23:51:45.031,A,22.18274021560569,6.646269786502337
2020-10-07T09:11:30.649,2020-10-07T09:11:33.474,A,1.3532387648505675,7.128593647103776
2020-10-13T05:26:36.889,2020-10-13T05:26:42.592,A,0.05040634111273982,6.256033903256126
2020-10-19T20:16:51.027,2020-10-19T20:17:08.046,A,22.63035994904483,5.6923219448884685
2020-10-22T19:57:26.974,2020-10-22T19:57:32.702,A,22.34977231675981,7.716120411109661
2020-10-26T22:08:46.861,2020-10-26T22:08:58.257,A,21.37787548178384,8.384156717590551
2020-10-31T20:56:42.869,2020-10-31T20:57:11.319,B,9.872754379354086,5.321757604190777
2020-11-02T15:18:50.221,2020-11-02T15:19:01.646,A,11.520619356279092,5.936808161372085
2020-12-13T14:16:01.800,2020-12-13T14:16:07.425,A,22.269189279936796,7.841708206753377
2020-12-29T14:45:49.852,2020-12-29T14:45:58.240,B,21.81586527293161,8.504992474706341
2021-01-11T22:33:27.371,2021-01-11T22:33:51.234,A,19.002033513550252,4.112498462217662
